Biosample,Organism Group,Gram-Positive,Enterbacteriaceae,Non-Fermenting Gram-Negative ,Antibiotic,Resistance Phenotype,Resistance Binary,Has MIC,MIC (mg/L),bla_TEM Mutation,bla_CTX-M Mutation,bla_OXA Mutation,blaSHV Mutation,pbp2b Mutation,Total AMR Gene Count
SAMN43765501,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,0,1,1,0,37
SAMN43765545,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,1,1,1,0,43
SAMN43765544,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,0,0,43
SAMN43765543,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,30
SAMN43765542,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,0,1,0,31
SAMN43765541,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,43
SAMN43765540,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,37
SAMN43765539,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,39
SAMN43765538,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,29
SAMN43765537,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,42
SAMN43765536,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,42
SAMN43765500,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,0,1,1,0,41
SAMN43765535,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,1,0,1,0,43
SAMN43765534,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,40
SAMN43765533,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,39
SAMN43765532,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,39
SAMN43765531,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,0,0,46
SAMN43765530,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,39
SAMN43765529,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,42
SAMN43765528,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,38
SAMN43765527,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,42
SAMN43765526,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,31
SAMN43765499,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,0,1,0,0,41
SAMN43765525,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,45
SAMN43765524,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,0,0,43
SAMN43765523,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,40
SAMN43765522,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,0,1,1,0,14
SAMN43765521,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,1,1,1,0,19
SAMN43765520,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,37
SAMN43765519,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,35
SAMN43765518,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,0,1,1,0,12
SAMN43765517,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,0,1,1,0,26
SAMN43765516,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,35
SAMN43765498,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,1,1,1,0,41
SAMN43765515,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,0,1,1,0,40
SAMN43765514,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,31
SAMN43765513,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,44
SAMN43765512,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,0,1,1,0,45
SAMN43765511,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,0,1,1,0,25
SAMN43765510,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,28
SAMN43765509,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,39
SAMN43765508,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,0,1,0,40
SAMN43765507,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,35
SAMN43765506,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,1,1,1,1,0,34
SAMN43765497,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,1,1,1,0,41
SAMN43765496,Klebsiella pneumoniae,0,1,0,amoxicillin,resistant,1,0,0,0,1,0,1,0,41
